"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","ADO_Sidders","ICB_Gide__Melanoma__PD-(L)1",-1.146,0.735,41,0.118844313185333,"Melanoma","PD-(L)1",0.170272891738834
"OS","APM_Thompson","ICB_Gide__Melanoma__PD-(L)1",-1.898,0.561,41,0.000718608883053866,"Melanoma","PD-(L)1",0.00574887106443093
"OS","APM_Wang","ICB_Gide__Melanoma__PD-(L)1",-1.357,0.487,41,0.0053279123755553,"Melanoma","PD-(L)1",0.0213116495022212
"OS","Base_excision_repair","ICB_Gide__Melanoma__PD-(L)1",-0.59,0.743,41,0.426991804070313,"Melanoma","PD-(L)1",0.426991804070313
"OS","Bcell_Budczies","ICB_Gide__Melanoma__PD-(L)1",-0.613,0.425,41,0.14898878027148,"Melanoma","PD-(L)1",0.170272891738834
"OS","Bcell_Helmink","ICB_Gide__Melanoma__PD-(L)1",-1.668,0.933,41,0.0739496236946699,"Melanoma","PD-(L)1",0.170272891738834
"OS","Bcells_Danaher","ICB_Gide__Melanoma__PD-(L)1",-0.613,0.425,41,0.14898878027148,"Melanoma","PD-(L)1",0.170272891738834
"OS","Bcells_Rooney","ICB_Gide__Melanoma__PD-(L)1",-0.717,0.46,41,0.119205892270915,"Melanoma","PD-(L)1",0.170272891738834
"OS","aDC_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.715,0.669,26,0.285236943821114,"Melanoma","PD-(L)1",0.963854638519039
"OS","ADO_Sidders","ICB_Hugo__Melanoma__PD-(L)1",-0.208,1.013,26,0.83693348193841,"Melanoma","PD-(L)1",0.984651258342734
"OS","APM_Thompson","ICB_Hugo__Melanoma__PD-(L)1",-1.128,0.735,26,0.124905443012465,"Melanoma","PD-(L)1",0.963854638519039
"OS","APM_Wang","ICB_Hugo__Melanoma__PD-(L)1",-0.916,0.775,26,0.237081603581396,"Melanoma","PD-(L)1",0.963854638519039
"OS","Base_excision_repair","ICB_Hugo__Melanoma__PD-(L)1",-1.349,1.268,26,0.287559406309149,"Melanoma","PD-(L)1",0.963854638519039
"OS","Bcell_Budczies","ICB_Hugo__Melanoma__PD-(L)1",-0.116,0.599,26,0.846703870979541,"Melanoma","PD-(L)1",0.984651258342734
"OS","Bcell_Helmink","ICB_Hugo__Melanoma__PD-(L)1",1.714,1.626,26,0.291928549114975,"Melanoma","PD-(L)1",0.963854638519039
"OS","Bcells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",-0.116,0.599,26,0.846703870979541,"Melanoma","PD-(L)1",0.984651258342734
"OS","Bcells_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.417,0.649,26,0.520359718115641,"Melanoma","PD-(L)1",0.963854638519039
"OS","Blood_Friedlander","ICB_Hugo__Melanoma__PD-(L)1",0.478,0.997,26,0.632087652385111,"Melanoma","PD-(L)1",0.984651258342734
"OS","C-ECM_Chakravarthy","ICB_Hugo__Melanoma__PD-(L)1",1.865,1.254,26,0.136969063215545,"Melanoma","PD-(L)1",0.963854638519039
"OS","CAF_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.89,0.745,26,0.231738521705144,"Melanoma","PD-(L)1",0.963854638519039
"OS","CCL5-CXCL9_Dangaj","ICB_Hugo__Melanoma__PD-(L)1",0.451,0.584,26,0.439539813110233,"Melanoma","PD-(L)1",0.963854638519039
"OS","CD39-CD8Tcell_Chow","ICB_Hugo__Melanoma__PD-(L)1",0.228,0.617,26,0.711337085190947,"Melanoma","PD-(L)1",0.984651258342734
"OS","CD8_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.05,0.588,26,0.931870425068714,"Melanoma","PD-(L)1",0.989809393047498
"OS","CD8_Sade-Feldman ","ICB_Hugo__Melanoma__PD-(L)1",1.167,1.404,26,0.405924236264134,"Melanoma","PD-(L)1",0.963854638519039
"OS","CD8_Tcells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",1.623,1.565,26,0.299658885128129,"Melanoma","PD-(L)1",0.963854638519039
"OS","CD8_Tcells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.018,0.533,26,0.973221900149482,"Melanoma","PD-(L)1",0.989809393047498
"OS","CellCycle","ICB_Hugo__Melanoma__PD-(L)1",0.23,1.221,26,0.85045237575237,"Melanoma","PD-(L)1",0.984651258342734
"OS","CellCycle_Reg","ICB_Hugo__Melanoma__PD-(L)1",-0.555,0.884,26,0.529728618611971,"Melanoma","PD-(L)1",0.963854638519039
"OS","Chemokine_Messina","ICB_Hugo__Melanoma__PD-(L)1",0.502,0.711,26,0.479892250062039,"Melanoma","PD-(L)1",0.963854638519039
"OS","CIN25_Carter","ICB_Hugo__Melanoma__PD-(L)1",0.255,0.634,26,0.687081475676265,"Melanoma","PD-(L)1",0.984651258342734
"OS","CIN70_Carter","ICB_Hugo__Melanoma__PD-(L)1",0.261,0.734,26,0.722058046605662,"Melanoma","PD-(L)1",0.984651258342734
"OS","Co-Inhibition-APC_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.062,0.756,26,0.934840492620101,"Melanoma","PD-(L)1",0.989809393047498
"OS","Co-Inhibition-Tcell_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.57,0.69,26,0.40860515214464,"Melanoma","PD-(L)1",0.963854638519039
"OS","Co-Stimulation-APC_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.756,0.766,26,0.3232654950558,"Melanoma","PD-(L)1",0.963854638519039
"OS","Co-Stimulation-Tcell_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.958,0.679,26,0.158659251967945,"Melanoma","PD-(L)1",0.963854638519039
"OS","COX-IS_Bonavita","ICB_Hugo__Melanoma__PD-(L)1",0.462,0.32,26,0.1481952903118,"Melanoma","PD-(L)1",0.963854638519039
"OS","CRMA_Shukla","ICB_Hugo__Melanoma__PD-(L)1",-0.381,0.558,26,0.49468008291195,"Melanoma","PD-(L)1",0.963854638519039
"OS","CYT_Davoli","ICB_Hugo__Melanoma__PD-(L)1",-0.051,0.557,26,0.92676730193592,"Melanoma","PD-(L)1",0.989809393047498
"OS","CYT_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.127,0.577,26,0.826320753360679,"Melanoma","PD-(L)1",0.984651258342734
"OS","Cytotoxic-cells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.164,0.794,26,0.836433163290362,"Melanoma","PD-(L)1",0.984651258342734
"OS","Cytotoxic-cells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",-0.022,0.594,26,0.970409281863378,"Melanoma","PD-(L)1",0.989809393047498
"OS","DC_Bindea","ICB_Hugo__Melanoma__PD-(L)1",1.776,0.839,26,0.034346830597821,"Melanoma","PD-(L)1",0.963854638519039
"OS","DC_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.982,0.546,26,0.0719679994123148,"Melanoma","PD-(L)1",0.963854638519039
"OS","DDR","ICB_Hugo__Melanoma__PD-(L)1",-0.721,1.249,26,0.563823745174825,"Melanoma","PD-(L)1",0.965334594011443
"OS","DNA_replication","ICB_Hugo__Melanoma__PD-(L)1",-0.202,0.788,26,0.797289954838749,"Melanoma","PD-(L)1",0.984651258342734
"OS","EMT_Thompson","ICB_Hugo__Melanoma__PD-(L)1",0.572,0.649,26,0.378065959095011,"Melanoma","PD-(L)1",0.963854638519039
"OS","EMT1","ICB_Hugo__Melanoma__PD-(L)1",-0.822,1.18,26,0.485916683409868,"Melanoma","PD-(L)1",0.963854638519039
"OS","EMT2","ICB_Hugo__Melanoma__PD-(L)1",1.466,0.713,26,0.0397878659717854,"Melanoma","PD-(L)1",0.963854638519039
"OS","EMT3","ICB_Hugo__Melanoma__PD-(L)1",1.296,1.088,26,0.233545353352712,"Melanoma","PD-(L)1",0.963854638519039
"OS","EMTstroma_Wang","ICB_Hugo__Melanoma__PD-(L)1",0.482,0.692,26,0.485960464747246,"Melanoma","PD-(L)1",0.963854638519039
"OS","Eosinophils_Bindea","ICB_Hugo__Melanoma__PD-(L)1",-0.037,1.385,26,0.978843909405586,"Melanoma","PD-(L)1",0.989809393047498
"OS","FGFR3_related","ICB_Hugo__Melanoma__PD-(L)1",0.967,0.61,26,0.112932694967021,"Melanoma","PD-(L)1",0.963854638519039
"OS","GPAGs","ICB_Hugo__Melanoma__PD-(L)1",0.341,1.033,26,0.741505845801151,"Melanoma","PD-(L)1",0.984651258342734
"OS","Histones","ICB_Hugo__Melanoma__PD-(L)1",-1.301,0.646,26,0.0440154849681184,"Melanoma","PD-(L)1",0.963854638519039
"OS","Homologous_recombination","ICB_Hugo__Melanoma__PD-(L)1",-0.865,0.937,26,0.356331898920863,"Melanoma","PD-(L)1",0.963854638519039
"OS","ICB-resistance_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.734,0.907,26,0.418325280106834,"Melanoma","PD-(L)1",0.963854638519039
"OS","iDC_Bindea","ICB_Hugo__Melanoma__PD-(L)1",1.798,1.534,26,0.241340274496179,"Melanoma","PD-(L)1",0.963854638519039
"OS","IFN_Ayers","ICB_Hugo__Melanoma__PD-(L)1",0.206,0.339,26,0.542877166514005,"Melanoma","PD-(L)1",0.963854638519039
"OS","ImmuneCells_Xiong","ICB_Hugo__Melanoma__PD-(L)1",2.084,1.532,26,0.173786820774659,"Melanoma","PD-(L)1",0.963854638519039
"OS","ImmuneScore_Roh","ICB_Hugo__Melanoma__PD-(L)1",-0.008,0.657,26,0.989809393047498,"Melanoma","PD-(L)1",0.989809393047498
"OS","ImmunoScore_Hao","ICB_Hugo__Melanoma__PD-(L)1",0.591,0.852,26,0.487994487457181,"Melanoma","PD-(L)1",0.963854638519039
"OS","IMPRES_Auslander","ICB_Hugo__Melanoma__PD-(L)1",1.169,1.487,26,0.431898917511948,"Melanoma","PD-(L)1",0.963854638519039
"OS","IMS_Cui","ICB_Hugo__Melanoma__PD-(L)1",2.189,0.868,26,0.0117027221310081,"Melanoma","PD-(L)1",0.963854638519039
"OS","Inflammatory_Thompson","ICB_Hugo__Melanoma__PD-(L)1",0.146,0.624,26,0.814934525522992,"Melanoma","PD-(L)1",0.984651258342734
"OS","IPRES_Hugo","ICB_Hugo__Melanoma__PD-(L)1",2.436,1.622,26,0.133172840026456,"Melanoma","PD-(L)1",0.963854638519039
"OS","IPS_Charoentong","ICB_Hugo__Melanoma__PD-(L)1",-0.444,0.352,26,0.207534334691273,"Melanoma","PD-(L)1",0.963854638519039
"OS","IPSOV_Shen","ICB_Hugo__Melanoma__PD-(L)1",5.989,3.502,26,0.0872653218929734,"Melanoma","PD-(L)1",0.963854638519039
"OS","IRG_Ayers","ICB_Hugo__Melanoma__PD-(L)1",0.199,0.339,26,0.556284701237829,"Melanoma","PD-(L)1",0.965334594011443
"OS","IRG_Yang","ICB_Hugo__Melanoma__PD-(L)1",-0.633,0.869,26,0.466288143342493,"Melanoma","PD-(L)1",0.963854638519039
"OS","KDM5A_Wang","ICB_Hugo__Melanoma__PD-(L)1",0.478,0.883,26,0.587991918664198,"Melanoma","PD-(L)1",0.984651258342734
"OS","M1_Hwang","ICB_Hugo__Melanoma__PD-(L)1",0.88,1.219,26,0.470472668538734,"Melanoma","PD-(L)1",0.963854638519039
"OS","Macrophage_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.629,0.617,26,0.307702342444616,"Melanoma","PD-(L)1",0.963854638519039
"OS","Macrophages_Bindea","ICB_Hugo__Melanoma__PD-(L)1",2.247,1.212,26,0.0637210318425859,"Melanoma","PD-(L)1",0.963854638519039
"OS","Macrophages_Rooney","ICB_Hugo__Melanoma__PD-(L)1",1.214,0.888,26,0.171644359327553,"Melanoma","PD-(L)1",0.963854638519039
"OS","Mast-cells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",1.426,1.099,26,0.19440925134956,"Melanoma","PD-(L)1",0.963854638519039
"OS","Mast-cells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.516,0.513,26,0.314790168780438,"Melanoma","PD-(L)1",0.963854638519039
"OS","MDSC_Peng","ICB_Hugo__Melanoma__PD-(L)1",-1.14,1.258,26,0.364584768567317,"Melanoma","PD-(L)1",0.963854638519039
"OS","MHC-I_Liu","ICB_Hugo__Melanoma__PD-(L)1",-1.007,1.255,26,0.422223374590537,"Melanoma","PD-(L)1",0.963854638519039
"OS","MHC-I_Rooney","ICB_Hugo__Melanoma__PD-(L)1",-0.433,0.583,26,0.457038566544073,"Melanoma","PD-(L)1",0.963854638519039
"OS","MHC-II_Liu","ICB_Hugo__Melanoma__PD-(L)1",0.051,1.096,26,0.962769394648306,"Melanoma","PD-(L)1",0.989809393047498
"OS","MPS_Guijarro","ICB_Hugo__Melanoma__PD-(L)1",1.652,1.602,26,0.302647341806815,"Melanoma","PD-(L)1",0.963854638519039
"OS","Myeloid-DC_Helmink","ICB_Hugo__Melanoma__PD-(L)1",0.196,0.564,26,0.727484322253604,"Melanoma","PD-(L)1",0.984651258342734
"OS","Neutrophils_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.309,0.758,26,0.683437694405559,"Melanoma","PD-(L)1",0.984651258342734
"OS","Neutrophils_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.327,0.719,26,0.649379709532478,"Melanoma","PD-(L)1",0.984651258342734
"OS","NK-CD56-cells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.383,0.593,26,0.518697666940585,"Melanoma","PD-(L)1",0.963854638519039
"OS","NK-cells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",-0.281,0.554,26,0.61134983044741,"Melanoma","PD-(L)1",0.984651258342734
"OS","NK-cells_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.155,0.587,26,0.791852030976802,"Melanoma","PD-(L)1",0.984651258342734
"OS","NonResponse_Chen","ICB_Hugo__Melanoma__PD-(L)1",0.676,0.828,26,0.414077655949255,"Melanoma","PD-(L)1",0.963854638519039
"OS","Nucleotide-excision-repair","ICB_Hugo__Melanoma__PD-(L)1",-1.841,1.202,26,0.125687963443037,"Melanoma","PD-(L)1",0.963854638519039
"OS","PassON_Du","ICB_Hugo__Melanoma__PD-(L)1",-0.808,1.701,26,0.634661188853455,"Melanoma","PD-(L)1",0.984651258342734
"OS","PDL1_Nishino","ICB_Hugo__Melanoma__PD-(L)1",0.4,0.568,26,0.48074826640785,"Melanoma","PD-(L)1",0.963854638519039
"OS","peri-Tcell_Hwang","ICB_Hugo__Melanoma__PD-(L)1",0.389,1.075,26,0.717386376489869,"Melanoma","PD-(L)1",0.984651258342734
"OS","PPAGs","ICB_Hugo__Melanoma__PD-(L)1",1.05,0.961,26,0.274135651384016,"Melanoma","PD-(L)1",0.963854638519039
"OS","proliferation_Pabla","ICB_Hugo__Melanoma__PD-(L)1",0.39,0.399,26,0.328345584247801,"Melanoma","PD-(L)1",0.963854638519039
"OS","PTEN-MITF_Cabrita","ICB_Hugo__Melanoma__PD-(L)1",0.069,0.852,26,0.93590159933179,"Melanoma","PD-(L)1",0.989809393047498
"OS","Response_Chen","ICB_Hugo__Melanoma__PD-(L)1",0.504,0.788,26,0.522347401842656,"Melanoma","PD-(L)1",0.963854638519039
"OS","STAT1_Care","ICB_Hugo__Melanoma__PD-(L)1",0.266,0.644,26,0.678969914527051,"Melanoma","PD-(L)1",0.984651258342734
"OS","SW480-cells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.627,0.869,26,0.470713549186366,"Melanoma","PD-(L)1",0.963854638519039
"OS","T-helper-cells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",-0.166,0.96,26,0.862452729844349,"Melanoma","PD-(L)1",0.984651258342734
"OS","TAM_Peng","ICB_Hugo__Melanoma__PD-(L)1",2.485,1.405,26,0.0768736007627764,"Melanoma","PD-(L)1",0.963854638519039
"OS","Tcell-accumulation_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.191,1.102,26,0.862659067043634,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcell-exclusion_Arnon","ICB_Hugo__Melanoma__PD-(L)1",-0.959,0.925,26,0.299951204684788,"Melanoma","PD-(L)1",0.963854638519039
"OS","Tcell-exhaustion_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.411,1.062,26,0.698340885645091,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcell-inflamed_Ayers","ICB_Hugo__Melanoma__PD-(L)1",0.12,0.598,26,0.841106478931155,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcell-regulatory_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.787,1.288,26,0.541115924284829,"Melanoma","PD-(L)1",0.963854638519039
"OS","Tcells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.27,0.628,26,0.666817991152591,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.226,0.567,26,0.689963735192626,"Melanoma","PD-(L)1",0.984651258342734
